id,predicted_class,doc_probs
3388,FailedLords,[-108.38267483  -94.33708526 -152.10316846 -102.91028945]
1405,FailedLords,[ -92.15782288  -62.82398034 -112.0876007   -78.86141748]
1995,FailedLords,[-72.11513112 -57.35300228 -94.97138185 -62.4962957 ]
2878,FailedLords,[-70.53551222 -31.66885328 -90.43257505 -70.75779594]
2051,FailedLords,[-28.20339303 -19.85385926 -39.46530751 -29.36221286]
2295,FailedLords,[-63.39204179 -48.45410283 -85.77641841 -64.65009781]
3164,FailedLords,[ -88.41653626  -54.20171441 -117.53314575  -82.72276397]
1602,FailedLords,[-62.6704475  -55.71145188 -99.707962   -77.1186373 ]
3056,FailedCommons,[-1.79290585 -2.72769928 -5.20606091 -2.35500476]
2477,FailedLords,[ -67.40731498  -39.03413246 -106.73560526  -82.10856937]
1819,FailedLords,[-140.58914195 -120.73016303 -203.1667113  -181.88137331]
2017,FailedLords,[-26.12583487 -16.97330609 -42.67210666 -21.58426867]
3161,FailedLords,[ -87.6116052   -42.55780089 -120.913975    -96.68243284]
1803,FailedLords,[-79.37301531 -45.24477721 -94.24538065 -67.71891178]
2890,FailedLords,[-25.72995152 -21.40246408 -38.87187009 -24.98684557]
2470,FailedLords,[-55.75223275 -32.25676653 -67.17937679 -51.65783152]
989,FailedLords,[ -95.22853808  -80.56662151 -114.59273632  -83.59053528]
1197,FailedLords,[ -71.49415944  -44.41733635 -107.16281512  -81.03882755]
1615,FailedLords,[-59.90213657 -33.65635334 -79.78318601 -56.98743127]
2605,FailedLords,[-44.69762588 -35.97858267 -64.98044953 -42.88022195]
2425,SuccessLords,[-31.18263042 -29.00297867 -41.13275374 -28.43715491]
856,FailedLords,[-21.85549951 -18.69464891 -35.24845934 -25.12494618]
397,FailedLords,[-73.07705931 -54.99857376 -97.39945589 -72.05957602]
1388,FailedCommons,[-23.98837169 -24.42551521 -43.69021818 -35.484191  ]
880,FailedLords,[-57.30104476 -45.28435685 -65.94563307 -46.76184159]
1806,FailedLords,[-19.0668005  -13.898104   -39.06476221 -25.88075852]
1009,FailedLords,[-74.21172096 -53.8022126  -91.34703987 -85.76269446]
1624,FailedLords,[-58.05085268 -26.89592013 -85.17521231 -68.93479439]
2870,FailedLords,[-18.06495514 -13.93403609 -27.26941704 -17.14902676]
1998,FailedLords,[-24.10526663 -13.86604303 -41.50284883 -18.77256908]
2492,FailedLords,[ -91.50009653  -61.70186251 -121.64913767  -88.26390367]
931,FailedLords,[-24.77168998 -19.31267301 -41.56108303 -30.27272985]
1286,FailedLords,[-174.55301981 -129.28954394 -176.72612734 -162.04188215]
3028,FailedLords,[-58.45987417 -30.84763901 -78.68021233 -60.74617409]
3078,FailedLords,[-20.20404245 -11.60079881 -27.44289698 -20.32244656]
2405,FailedLords,[-43.84982802 -25.03533038 -60.32478019 -27.55013747]
2872,FailedLords,[-100.99553407  -79.40776229 -124.93557963 -103.19231884]
3186,FailedLords,[-63.05665216 -32.37234699 -84.23211486 -63.50040697]
2469,FailedLords,[-56.74018255 -41.74905793 -71.74160726 -49.43990172]
2040,FailedLords,[-46.6921589  -46.23688701 -85.31073718 -61.99720928]
3074,FailedLords,[ -86.65804759  -78.3326135  -117.57792456  -89.38358334]
892,FailedLords,[-83.87445785 -62.10913996 -95.17241342 -73.39801918]
1593,FailedLords,[-53.66247157 -45.07195561 -73.16955209 -49.08078109]
1409,FailedLords,[-113.33087927  -88.75761918 -110.94382923 -123.77052188]
3204,FailedCommons,[-64.52255119 -76.10790721 -98.38029651 -74.8201607 ]
3552,FailedLords,[-60.71647679 -31.90869307 -79.48936271 -61.27347295]
1929,FailedLords,[-152.93372734  -91.05907878 -169.38375879 -114.68510667]
998,FailedLords,[-23.50541494 -20.15989838 -36.52733365 -26.8118357 ]
2286,FailedLords,[-40.52942841 -23.88491258 -50.90317715 -30.82598922]
3169,FailedCommons,[ -4.32179325  -4.46907913 -10.56071703  -9.49460052]
1198,FailedLords,[-36.55045635 -14.78203859 -53.01203245 -20.69051233]
2586,FailedLords,[-29.38890692 -18.94609337 -40.97715561 -20.99758863]
2883,FailedLords,[ -85.46003076  -49.9130465  -113.9838399   -79.8733252 ]
299,FailedLords,[-28.14947362 -20.35154957 -49.32179249 -24.64128754]
1488,FailedLords,[ -95.17007484  -83.3199158  -132.68859443  -90.17416718]
3179,FailedLords,[-131.94186706 -106.36773468 -163.8813053  -128.68155372]
1587,FailedLords,[-42.18324232 -31.35985223 -39.0362805  -49.22409339]
1190,FailedLords,[-75.64994125 -36.97710116 -93.01427618 -68.43376803]
2596,SuccessLords,[-21.93015792 -25.89639198 -36.81287754 -12.16137322]
2453,FailedLords,[-29.86562149 -24.08975044 -41.77538895 -25.36683867]
543,FailedLords,[-41.1813333  -17.85590646 -43.51344111 -37.24563991]
2019,FailedLords,[-58.72199629 -24.68884467 -74.33073892 -61.54615711]
1004,FailedLords,[ -71.49415944  -44.41733635 -107.16281512  -81.03882755]
823,SuccessLords,[-63.22080469 -61.08100319 -87.66799119 -57.28645941]
1381,FailedLords,[ -83.02823562  -42.41634119 -120.71314198  -85.14365283]
2587,FailedLords,[-43.92038923 -32.2839667  -63.84870544 -47.16148328]
2280,FailedLords,[ -92.76612454  -40.65594063 -128.75968124 -102.42514767]
3183,FailedLords,[-50.18512958 -38.73794671 -69.72120142 -50.54346019]
2882,FailedCommons,[ -72.87024889  -73.80903656 -103.40043545  -81.1453052 ]
2054,FailedLords,[-16.77959857 -10.92561457 -30.31597398 -19.64766688]
2539,FailedLords,[ -89.07494874  -39.35869315 -123.45346658  -98.50181363]
2006,FailedLords,[-10.68084575  -9.62774634 -25.59419876 -11.20738413]
2500,FailedLords,[-39.11540614 -23.65438549 -49.09680974 -30.35570221]
999,FailedLords,[-58.5639923 -47.5368184 -74.25013   -47.8811762]
1296,FailedLords,[-111.26302847  -44.38855118 -129.64842862  -99.30722771]
2410,FailedLords,[ -86.69897259  -57.27135393 -106.2102916   -57.41736552]
1692,FailedLords,[-58.11846326 -57.60708723 -91.39585131 -69.15060135]
443,FailedLords,[-41.95401718 -40.63458131 -60.32132213 -41.04129144]
2042,FailedLords,[-49.32399465 -43.22114577 -71.98396153 -52.26792848]
1022,FailedLords,[ -94.41130278  -54.91509998 -117.36873452  -92.32460619]
3089,FailedLords,[-106.13286071  -66.53338458 -131.90013793 -101.16866682]
559,FailedCommons,[-37.36004532 -45.33599681 -60.8347086  -48.58359201]
1479,FailedLords,[-43.31918874 -30.38991224 -57.62090891 -33.31251018]
2037,FailedLords,[-30.00025337 -26.33563673 -48.12479841 -32.98137191]
918,FailedLords,[-127.25049021 -111.16240356 -165.03378658 -121.64657645]
751,FailedLords,[-43.99404429 -31.55453295 -60.26401018 -45.01864359]
1929,FailedLords,[-152.93372734  -91.05907878 -169.38375879 -114.68510667]
2543,FailedLords,[ -84.13768748  -53.38027067 -111.47824253  -86.03344639]
2601,FailedLords,[ -76.21200261  -50.96354499 -105.40985761  -72.45633874]
2494,FailedLords,[-134.41539149 -106.96009096 -188.59524904 -147.3524536 ]
2038,FailedLords,[-15.89612727 -10.94507849 -27.66955849 -20.82829677]
659,FailedLords,[-110.46597704  -68.70091345 -126.19212078 -104.03576369]
2318,FailedLords,[-116.57072909  -94.6449841  -133.88309596 -122.54722549]
2362,FailedLords,[-48.12859797 -31.54733756 -84.68663678 -66.41940096]
3337,FailedLords,[ -83.45456428  -68.49020966 -108.17817898  -84.24839253]
621,FailedLords,[-114.16601647  -37.83563422 -134.97134512  -77.29491555]
658,FailedLords,[-64.44193665 -46.39400529 -87.17074621 -69.11951298]
186,FailedLords,[-55.7059566  -31.42932484 -78.70743611 -62.06156747]
1189,FailedLords,[ -94.10411652  -51.51305314 -135.7622132   -97.21697678]
2541,FailedLords,[-30.17731109 -11.45393679 -32.84183161 -23.4139689 ]
2574,FailedLords,[ -9.5610167   -8.90895259 -20.13088094  -9.48477022]
1814,FailedLords,[-25.90552871 -19.65556642 -36.26511587 -23.04729407]
3534,FailedLords,[ -5.37225262  -4.4746434  -11.57151241  -5.3147771 ]
820,FailedLords,[-42.7613509  -42.53511369 -62.61121267 -44.01417185]
3173,FailedLords,[-103.76760209  -93.28001987 -141.44457968 -107.84473464]
2559,FailedLords,[-53.65603013 -45.49168398 -81.01923422 -56.65395328]
1333,FailedLords,[-19.0720696  -13.6928448  -31.07597208 -20.67132945]
3019,FailedLords,[-67.81901635 -29.02200858 -85.13476082 -61.46684633]
1817,FailedCommons,[-11.4317075  -11.6102789  -26.96575481 -13.607238  ]
1779,FailedLords,[-39.60250164 -28.43531123 -56.0950787  -41.20824993]
1812,SuccessLords,[-14.11343808 -13.87800914 -22.45665958 -13.74779172]
1810,FailedLords,[-60.989853   -42.85927667 -83.69174854 -55.94799031]
3163,FailedCommons,[ -5.81481308  -6.16998348 -13.31480235  -8.59995552]
2044,FailedCommons,[-33.32668959 -33.95949522 -63.73379533 -49.60860456]
3175,FailedLords,[-58.45484805 -31.29857411 -79.7601133  -61.6356298 ]
1604,FailedLords,[ -5.10316292  -4.47012209 -13.40568546  -6.21029368]
2511,FailedLords,[-15.89612727 -10.94507849 -27.66955849 -20.82829677]
1482,FailedLords,[-20.15338033 -15.03779883 -34.69619493 -22.56428015]
2411,FailedLords,[-108.91871032  -75.07268333 -143.35610069  -79.39164634]
1605,FailedLords,[ -82.00046478  -43.16271377 -120.4955196   -83.69802811]
2590,FailedLords,[-78.69660693 -58.41333476 -89.61684416 -64.19351332]
2542,FailedLords,[-106.48844037  -66.60205425 -133.0396195  -101.72961635]
1795,FailedLords,[-39.48376744 -17.41374492 -42.40313706 -36.26834993]
2577,FailedCommons,[-11.2834724  -11.3960285  -28.8654129  -12.81001988]
2549,FailedLords,[-21.11965618 -16.37342053 -31.47302149 -20.97356978]
2889,FailedLords,[-74.90399044 -65.2230966  -92.85606418 -75.684722  ]
1829,FailedLords,[-56.02307366 -51.645482   -94.80747474 -60.83034012]
2486,FailedLords,[-46.73992695 -25.43709053 -60.50768974 -38.07248751]
3162,FailedLords,[-13.48992484  -9.06727742 -19.36473073  -9.68966691]
1827,FailedLords,[ -81.94185355  -66.04210533 -111.21335804  -90.63198602]
2013,FailedLords,[-30.40983879 -11.54768338 -32.96320589 -23.81906882]
1395,FailedLords,[-48.3193391  -41.99594082 -64.71363034 -42.36164012]
274,FailedLords,[-80.69862463 -63.7245781  -93.87565691 -74.23178087]
2410,FailedLords,[ -86.69897259  -57.27135393 -106.2102916   -57.41736552]
1831,FailedLords,[-56.19127584 -50.22984648 -71.59131135 -61.05711819]
621,FailedLords,[-114.16601647  -37.83563422 -134.97134512  -77.29491555]
1600,FailedLords,[-61.80145462 -52.40925069 -83.02026253 -59.68872415]
2876,FailedLords,[ -97.90539032  -62.03400748 -125.3234173  -111.77894178]
2540,FailedLords,[-35.22075956 -27.00513081 -57.7523655  -39.93427666]
1785,FailedLords,[-40.15951797 -33.83033265 -50.45339362 -36.00733407]
1784,FailedLords,[-33.8304508  -28.08350012 -50.66265295 -31.967772  ]
1825,SuccessLords,[-19.40530818 -19.29102061 -31.88869393 -17.52873717]
3381,FailedLords,[-221.0775952  -171.49462896 -249.52425228 -196.60270277]
742,FailedLords,[-70.11982632 -53.2465     -97.92818103 -70.37150711]
3189,FailedLords,[ -87.22681603  -78.73024349 -116.14722777  -83.89287117]
3335,FailedLords,[ -82.24586478  -55.11747633 -105.06763524  -93.40669622]
1021,FailedLords,[-54.82470512 -42.1160099  -83.89355129 -68.56660967]
3525,FailedCommons,[-2.06014115 -3.93736646 -7.43154259 -7.34625062]
1826,FailedLords,[-16.77959857 -10.92561457 -30.31597398 -19.64766688]
1299,FailedLords,[-35.63470642 -21.19735798 -49.99004665 -30.01488244]
1623,FailedLords,[-35.14054495 -34.16666608 -50.94693088 -35.72882217]
357,FailedLords,[ -97.19345741  -45.1030565  -101.59038256  -45.52178349]
1790,FailedLords,[-16.37521284 -13.50698889 -25.3016334  -17.47776649]
2493,FailedLords,[-108.91871032  -75.07268333 -143.35610069  -79.39164634]
1540,FailedLords,[-43.90365461 -31.37243029 -62.34622454 -47.38032896]
2030,FailedLords,[ -78.33916008  -70.04569049 -105.90934396  -76.35116764]
3185,FailedLords,[-26.21562311 -23.63533914 -41.22506191 -24.92947931]
2505,FailedLords,[ -80.13242635  -62.22338938 -115.44959548  -89.0220946 ]
3188,SuccessLords,[-77.49623523 -70.75664754 -98.76557217 -61.98449398]
2612,FailedLords,[ -86.49519114  -70.48352772 -119.88903815  -79.99574073]
2022,SuccessLords,[ -75.14049272  -71.6030356  -105.96719198  -71.05410753]
292,SuccessLords,[-33.40516453 -27.44099927 -45.58116648 -27.10597418]
2573,FailedLords,[-108.91871032  -75.07268333 -143.35610069  -79.39164634]
651,FailedLords,[-103.5587034   -53.47332809 -123.21911056  -98.43404429]
1066,FailedLords,[ -84.4487142   -61.1319025  -123.70203477  -78.06717894]
845,FailedLords,[ -86.66943417  -61.46044261 -112.28505263  -83.58358697]
2874,FailedLords,[-37.89101245 -32.38474266 -58.59078904 -45.22478004]
1796,FailedLords,[-151.95826519  -67.4518976  -180.18508138 -135.89072442]
2575,FailedLords,[-57.9282319  -47.55604223 -74.9800755  -64.76752424]
2614,FailedLords,[-24.43417028 -19.28544714 -35.64677371 -29.3319523 ]
2031,FailedLords,[ -78.8649278   -61.89305318 -113.90677549  -87.78156017]
2481,FailedLords,[-30.40983879 -11.54768338 -32.96320589 -23.81906882]
2589,FailedLords,[-26.64380086 -20.5844285  -42.13284164 -26.91904455]
1801,FailedLords,[-15.85411563 -10.9352149  -27.25236468 -20.44708573]
991,FailedLords,[ -93.36917902  -45.24788342 -129.60676031  -95.29658366]
752,FailedLords,[-60.02933502 -44.06859448 -85.34858004 -75.40493313]
2592,FailedLords,[ -82.10809395  -43.07370047 -120.06726727  -84.60671888]
1618,FailedLords,[-15.85411563 -10.9352149  -27.25236468 -20.44708573]
1516,FailedLords,[-41.12841749 -40.70744642 -70.10884903 -50.37684222]
2564,FailedLords,[-152.15629359  -67.68595642 -180.12930249 -136.22088872]
1386,FailedLords,[-23.28213492 -12.69064226 -39.20612068 -17.1498937 ]
1113,FailedLords,[-124.55643521  -93.14466698 -161.73638109 -133.78149686]
2475,FailedLords,[ -72.54351507  -59.75035167 -116.18429798  -90.19427911]
1792,FailedLords,[-11.21232079  -7.83463666 -22.1245012   -9.18683762]
1583,FailedLords,[-38.53536572 -33.99395789 -58.0153667  -42.02452184]
1780,FailedLords,[-25.17503794 -18.56817804 -33.40159279 -20.00293898]
925,FailedLords,[-57.5919854  -18.48709347 -60.04046487 -44.88649287]
3522,FailedLords,[-47.34079953 -35.15223372 -68.59811449 -46.70957342]
1629,SuccessLords,[-33.96296358 -24.18587439 -52.61634576 -22.60652218]
3174,FailedLords,[-103.95193009  -96.20185809 -153.63645836 -130.90312455]
2397,FailedLords,[-50.68653064 -43.24217067 -97.94378337 -68.19422195]
1626,FailedLords,[-38.44283377 -16.94876603 -41.10607589 -35.62418913]
2898,FailedCommons,[-16.81442743 -19.82579196 -39.07947202 -27.09853641]
2600,SuccessLords,[-65.80591996 -67.42240488 -95.88374324 -62.83394469]
1595,SuccessLords,[-79.18399138 -68.78888758 -94.93934951 -68.3348861 ]
1601,FailedLords,[-42.76451824 -32.77595052 -58.42119651 -33.52548653]
367,FailedLords,[-117.00575796  -88.94411182 -153.42961293 -111.69431095]
2011,FailedLords,[ -4.79777237  -4.52386718 -12.64595023  -7.37341595]
265,FailedLords,[-70.52505322 -56.19042892 -94.78073598 -63.35648453]
2008,FailedCommons,[ -67.60636851  -72.94437612 -135.36012131  -86.52814894]
2732,FailedLords,[-42.06738257 -32.99158565 -54.02496363 -39.49695977]
655,SuccessLords,[-36.40551574 -34.70420381 -44.97937757 -32.58044942]
552,FailedLords,[ -91.72257711  -75.11982659 -125.97299441  -90.04468555]
3184,FailedLords,[ -64.85311186  -61.20821876 -100.40110735  -71.07911945]
1194,FailedLords,[ -83.02823562  -42.41634119 -120.71314198  -85.14365283]
2047,FailedLords,[-44.28552246 -25.58695764 -53.11522851 -39.34512142]
2473,FailedLords,[-59.11076074 -24.86182742 -73.4801417  -61.69769492]
1575,FailedLords,[-30.14681252 -20.35904769 -44.1231312  -24.84228013]
2537,FailedLords,[ -72.82467233  -53.8084647  -124.60203997  -95.3752848 ]
557,FailedLords,[-66.43382279 -51.67306284 -90.54923392 -62.46491343]
1393,FailedLords,[-119.78951407  -70.51691694 -166.08922324 -122.95144991]
1805,FailedLords,[ -93.90810753  -64.80204154 -127.63230507  -87.89486879]
1821,FailedLords,[-35.14054495 -34.16666608 -50.94693088 -35.72882217]
2579,FailedLords,[-74.52432229 -33.08051322 -93.42716488 -74.6896557 ]
650,FailedLords,[ -82.71604318  -65.57594636 -107.07049803  -74.31618223]
3119,FailedLords,[-50.57414344 -49.03848928 -69.25231275 -54.98621329]
2558,FailedLords,[-41.51384006 -32.30128938 -57.98824541 -41.99155512]
2057,FailedLords,[ -92.80533282  -90.00618585 -139.69790869 -104.45347322]
621,FailedLords,[-114.16601647  -37.83563422 -134.97134512  -77.29491555]
2869,FailedLords,[ -63.41293198  -39.8278227  -112.47607835  -90.37169637]
1616,FailedLords,[ -87.38905443  -83.74044417 -134.21389761 -100.74586468]
1991,SuccessLords,[-29.01809197 -23.42774473 -37.18964176 -23.00098618]
2035,FailedLords,[-25.59981638 -19.49227572 -35.09867756 -22.69911074]
1005,FailedLords,[-44.64000266 -37.63643071 -60.34437922 -41.30575176]
2607,FailedLords,[-71.31692475 -48.23798716 -97.213319   -68.84622279]
2531,FailedLords,[ -69.12584866  -43.53209024 -111.41636811  -91.06978758]
2491,FailedLords,[-52.81373138 -41.6100736  -69.07667885 -50.59560823]
1788,SuccessLords,[-61.41950238 -55.41145059 -70.26180368 -28.68650515]
2034,FailedLords,[ -89.60661369  -39.89977726 -110.09617858  -79.70693834]
1379,FailedLords,[ -78.54083425  -51.42054172 -108.26834583  -79.11317486]
1383,FailedLords,[-155.82497555  -69.81575993 -184.8819025  -139.46188556]
1077,SuccessLords,[-70.50775375 -59.67053543 -98.25745069 -56.68167005]
1408,FailedLords,[-65.19978084 -29.57815728 -80.08166087 -58.73283327]
553,FailedLords,[-12.67250597  -5.73376233 -17.00948579  -8.97680431]
1582,FailedLords,[-70.9203031  -51.06865606 -98.73274841 -71.98330142]
2578,FailedLords,[-57.53950514 -51.66080382 -78.65774419 -57.31435033]
549,FailedLords,[-105.55357721  -54.03098546 -125.96141061 -101.24259179]
485,FailedLords,[-66.43507641 -51.6611557  -90.53032418 -62.31630982]
2502,FailedLords,[-10.26079321  -8.58206829 -18.36773183 -11.36713161]
1786,FailedLords,[-60.43076555 -49.89374782 -72.1703547  -54.32175896]
2879,FailedLords,[-59.67827321 -52.10302806 -86.39078243 -65.02716129]
2499,FailedLords,[-58.03527106 -47.64997399 -75.42842931 -65.10919902]
1596,FailedLords,[-50.65686801 -24.45652659 -63.22529043 -49.06884594]
1174,SuccessLords,[-70.35275004 -59.42451385 -97.97922356 -56.53789155]
357,FailedLords,[ -97.19345741  -45.1030565  -101.59038256  -45.52178349]
1614,FailedLords,[ -85.59582339  -74.93033954 -120.67886139  -82.25749828]
1136,FailedLords,[ -71.58012866  -63.19200557 -113.85525913  -75.79870223]
1316,SuccessLords,[ -82.34442739  -73.52222    -101.26080512  -42.4874221 ]
1611,FailedLords,[-57.34620994 -25.82458495 -70.52035754 -51.48206183]
2033,FailedLords,[-52.3515188  -45.92764636 -83.23085012 -54.57864942]
2021,FailedLords,[-51.51120653 -21.73968675 -65.60928265 -45.41490864]
995,FailedLords,[-15.57588158  -5.40063783 -20.38718141 -10.59097206]
1400,FailedCommons,[-133.6712838  -147.17526735 -183.76199805 -168.09930194]
2557,SuccessLords,[-16.96445783 -17.26021479 -28.0651913  -15.73975649]
2562,FailedLords,[-258.37613359 -180.03724794 -298.01584214 -237.02998931]
621,FailedLords,[-114.16601647  -37.83563422 -134.97134512  -77.29491555]
555,FailedLords,[-32.84160827 -26.54665939 -42.72388312 -27.32381775]
1191,FailedLords,[ -89.83108362  -61.12761937 -121.50871072 -103.03339863]
1793,FailedLords,[-74.94400446 -37.51261928 -94.02160786 -67.30787685]
2703,FailedLords,[-72.66618438 -54.46328545 -99.5497991  -70.18580644]
1994,FailedLords,[-61.11533571 -31.18936655 -76.73934148 -59.6550393 ]
1392,FailedCommons,[-174.90273925 -178.18375802 -270.11601165 -196.6081836 ]
2606,FailedLords,[-10.73724392  -8.59928101 -21.95669619  -8.94210676]
1818,FailedLords,[ -81.11164338  -42.81509103 -118.75620171  -82.5828913 ]
2548,FailedCommons,[-10.03217248 -11.58226545 -22.9392258  -17.97318291]
2506,FailedLords,[-63.4022693  -50.35747691 -96.43343629 -74.45545204]
2036,FailedCommons,[-21.167138   -23.03105338 -36.32154175 -22.79878993]
2599,FailedLords,[-28.40229976 -24.37243425 -34.19794866 -32.22407586]
2528,FailedLords,[-63.01891708 -49.87306225 -96.4492366  -73.70430123]
1000,FailedLords,[-111.3318937   -76.77728833 -139.80050195 -110.07180051]
1758,FailedLords,[-54.04377914 -40.26630738 -71.27947751 -48.5160749 ]
1580,SuccessLords,[ -5.43411022  -4.88560455 -11.57448592  -4.87074495]
2405,FailedLords,[-43.84982802 -25.03533038 -60.32478019 -27.55013747]
288,FailedLords,[-35.53797343 -26.76059628 -34.63161967 -37.12281828]
1808,FailedLords,[-24.15579741 -15.43741557 -39.6901261  -20.53905114]
2588,FailedLords,[ -92.79506016  -78.19914442 -112.51537636  -86.00282838]
2235,FailedLords,[ -72.98535396  -53.58513062 -106.01085187  -75.77274404]
366,FailedLords,[-68.20300147 -36.62001138 -74.39999975 -47.8270442 ]
3328,FailedLords,[-104.43519478  -90.88566372 -133.05074031 -103.96985713]
2569,FailedLords,[ -89.81845361  -40.69855331 -111.39324011  -80.23023601]
1007,FailedLords,[-105.90873474  -54.99048427 -126.04243197 -102.59300533]
2618,FailedLords,[ -98.98619519  -55.84527951 -111.11737645  -86.04240714]
1396,FailedLords,[-50.65686801 -24.45652659 -63.22529043 -49.06884594]
657,FailedLords,[-79.10246671 -67.14015783 -91.96749542 -88.64769653]
3313,FailedLords,[-20.23970121 -11.0683074  -26.80083171 -20.04627906]
2602,FailedLords,[-15.89612727 -10.94507849 -27.66955849 -20.82829677]
3085,FailedLords,[-71.12711197 -33.64503391 -95.86530262 -81.60940537]
2884,SuccessLords,[-10.92217625  -8.93674347 -12.40751756  -6.84625061]
2023,FailedLords,[-58.10246111 -44.30724297 -76.97519856 -56.47076288]
1802,FailedLords,[-15.70431565 -11.81986974 -24.19552838 -12.28025593]
2597,FailedLords,[-26.29200945 -17.51131057 -40.00715078 -19.08901315]
3176,FailedLords,[-58.11506703 -48.38892413 -80.75067741 -56.3156625 ]
3321,FailedLords,[ -81.7397056   -62.69808773 -101.36698679  -74.43391986]
2547,FailedLords,[-23.33820267 -13.72286263 -31.64681237 -22.60063203]
2545,FailedLords,[-74.42471361 -42.34570944 -56.69467057 -51.60259035]
1992,FailedLords,[-17.99172591 -16.44882392 -30.55622416 -17.2475233 ]
990,FailedLords,[-72.31139213 -36.18316641 -90.22710417 -66.51102041]
2515,FailedLords,[-13.6274765   -9.56014493 -18.74635762 -12.59606048]
362,FailedLords,[-73.92063157 -44.14311391 -63.05789024 -65.58782899]
3140,FailedLords,[ -82.24586478  -55.11747633 -105.06763524  -93.40669622]
3315,FailedLords,[ -64.01302534  -40.16087387 -114.15725459  -92.30230412]
2050,FailedLords,[ -79.81957989  -48.01485553 -136.19652207 -125.90039285]
705,FailedLords,[-40.20065721 -17.45569855 -42.418831   -36.74774971]
1794,FailedLords,[ -87.81812238  -53.74442377 -131.17129156  -94.78394926]
973,FailedLords,[ -93.36917902  -45.24788342 -129.60676031  -95.29658366]
2611,FailedLords,[ -90.83342992  -58.87452671 -111.78692066  -83.48467884]
1186,FailedLords,[-34.72317304 -31.72497413 -44.00026118 -39.75384026]
796,FailedLords,[ -77.6880737   -58.48121038 -103.36496581  -76.668672  ]
3332,FailedLords,[-56.57011967 -30.38570917 -75.39366289 -57.62732352]
364,FailedLords,[-35.53797343 -26.76059628 -34.63161967 -37.12281828]
900,FailedLords,[-12.44914419 -11.26676536 -22.02434911 -16.76373879]
2516,FailedLords,[-143.25498144  -78.87335174 -160.14887607 -120.92577305]
1594,FailedLords,[-19.95852499 -14.83820858 -34.22990056 -22.39980384]
2039,FailedLords,[-136.7783937  -116.1227527  -180.72867175 -146.89177208]
1590,FailedLords,[ -96.63923944  -57.56202266 -145.7399987  -104.52265604]
2005,FailedLords,[-41.93317799 -38.52157126 -48.74963199 -48.23406741]
2507,FailedLords,[-51.89539026 -45.11946365 -83.22082095 -54.29581537]
3538,FailedLords,[ -94.35526298  -61.6607398  -122.26419178 -109.22191347]
1999,FailedLords,[ -94.12790636  -74.37675141 -114.39003274  -94.40400769]
556,SuccessLords,[ -86.86746699  -85.25147423 -102.0813008   -73.94057544]
2613,FailedLords,[-18.87272323 -16.80147048 -31.37518157 -17.45924703]
1288,FailedLords,[ -92.17425379  -62.76012701 -111.98313837  -78.85938066]
394,SuccessLords,[-26.91469132 -24.30189368 -34.60153486 -22.67889602]
